,val_loss,val_gender_loss,val_age_loss,val_gender_accuracy,val_age_accuracy,loss,gender_loss,age_loss,gender_accuracy,age_accuracy,lr
0,9.127772430309651,0.6063427925109863,4.077425003051758,0.6928635835647583,0.032068654894828796,10.859535842027034,0.9891858100891113,5.154386043548584,0.6972997188568115,0.0333266407251358,0.009999999776482582
1,8.578374915222058,0.594149112701416,4.055598258972168,0.7195122241973877,0.03161698207259178,8.819827386495747,0.5924018621444702,4.048969745635986,0.7053804397583008,0.038546476513147354,0.009999999776482582
2,8.033613457373917,0.5130302906036377,4.048205375671387,0.7610659599304199,0.03161698207259178,8.26577650861696,0.5380204319953918,4.034275531768799,0.7418690919876099,0.038144949823617935,0.009999999776482582
3,7.573393249253271,0.4775683283805847,4.023633003234863,0.7877145409584045,0.04155375063419342,7.767176335749677,0.4932284355163574,4.008350849151611,0.7789600491523743,0.038446094840765,0.009999999776482582
4,7.223434230714848,0.4677148461341858,4.038057804107666,0.792682945728302,0.02890695631504059,7.331866984912081,0.45526862144470215,3.986725091934204,0.7970789074897766,0.03453121706843376,0.009999999776482582
5,6.764239982753158,0.37912192940711975,3.974703073501587,0.8351399898529053,0.044263776391744614,6.930274740708112,0.4041805565357208,3.96626615524292,0.8197149038314819,0.03583617880940437,0.009999999776482582
6,6.613849509806921,0.4446345567703247,4.024059295654297,0.7949413061141968,0.03297199681401253,6.547220149688322,0.33453086018562317,3.9414901733398438,0.858411967754364,0.040252961218357086,0.009999999776482582
7,6.121665753430898,0.27883610129356384,3.941892385482788,0.8812105059623718,0.04155375063419342,6.212340460415227,0.2789556086063385,3.91530442237854,0.8845613598823547,0.04205982759594917,0.009999999776482582
8,5.960553586213785,0.21931229531764984,3.886338949203491,0.9101174473762512,0.040198735892772675,5.934642029344689,0.21919836103916168,3.8390612602233887,0.9134209752082825,0.04858462139964104,0.0020000000949949026
9,5.903425488045545,0.20897795259952545,3.8841958045959473,0.9182475209236145,0.03703703731298447,5.845600744682822,0.20137907564640045,3.8130736351013184,0.92140132188797,0.05144549161195755,0.0020000000949949026
10,5.876504864473007,0.23411925137043,3.873934507369995,0.9074074029922485,0.03477868065237999,5.773846574682616,0.19002693891525269,3.7964255809783936,0.924764096736908,0.049989961087703705,0.0020000000949949026
11,5.767612814795572,0.19461819529533386,3.8469464778900146,0.9200541973114014,0.03748870640993118,5.707669325608179,0.18332643806934357,3.779508113861084,0.9294820427894592,0.05375426635146141,0.0020000000949949026
12,5.718622295083285,0.18975986540317535,3.8421108722686768,0.9245709180831909,0.033423665910959244,5.638127837595608,0.17583438754081726,3.7584915161132812,0.9323428869247437,0.053302548825740814,0.0020000000949949026
13,5.705367365719073,0.21511586010456085,3.8467702865600586,0.9177958369255066,0.03748870640993118,5.574794463713086,0.16839754581451416,3.742656946182251,0.934400737285614,0.056615136563777924,0.0020000000949949026
14,5.684152074191844,0.23380140960216522,3.839357614517212,0.9078590869903564,0.03477868065237999,5.502643857177446,0.16138754785060883,3.7161741256713867,0.9379642605781555,0.057367999106645584,0.0020000000949949026
15,5.558259907130626,0.17523714900016785,3.782820701599121,0.9272809624671936,0.03884372115135193,5.38125282835946,0.13129913806915283,3.648017406463623,0.9510138630867004,0.06805862486362457,0.00039999998989515007
16,5.552936713762292,0.17229920625686646,3.7872841358184814,0.9327009916305542,0.03161698207259178,5.335793393320215,0.12149880826473236,3.620159864425659,0.9559325575828552,0.07182292640209198,0.00039999998989515007
17,5.5537004341601035,0.17612820863723755,3.792433023452759,0.9313459992408752,0.03477868065237999,5.307300317959957,0.11568420380353928,3.605109691619873,0.957889974117279,0.07137121260166168,0.00039999998989515007
