,val_loss,val_accuracy,loss,accuracy
0,4.46757481881417,0.03447756543755531,4.782545415823125,0.03215392678976059
1,4.493856366733872,0.03462812304496765,4.512810357346022,0.034994833171367645
2,4.079798550104671,0.028003612533211708,4.4029045169018515,0.03757748007774353
3,3.892798250822086,0.04065040498971939,4.237652907686785,0.034930270165205
4,3.7216935253976087,0.048178259283304214,4.131980009808028,0.03525310009717941
5,3.7346581581377616,0.05133995786309242,4.028200650018109,0.041967976838350296
6,3.6799516684317655,0.04727491736412048,3.9898662734622796,0.04229080677032471
7,3.674819543181468,0.04998494312167168,3.9781764593006166,0.04287189990282059
8,3.687132824116965,0.052996084094047546,3.950615591254116,0.04203253984451294
9,3.680305690013009,0.05766335502266884,3.9284639407780544,0.046423036605119705
10,3.6653997504686022,0.049232158809900284,3.9305627375594843,0.04829545319080353
11,3.683462846785272,0.04847937449812889,3.911044346892144,0.04545454680919647
12,3.6759925283462445,0.0575127974152565,3.9138622392307627,0.04661673679947853
13,3.6495500477420677,0.05269497260451317,3.911434865687504,0.04558367654681206
14,3.6674678820294453,0.05570611357688904,3.8914289843937584,0.04726239666342735
15,3.646769933691947,0.05374887213110924,3.8943449726774673,0.048230890184640884
16,3.700607127577596,0.05435109883546829,3.886674156858901,0.048489153385162354
17,3.6994260381912834,0.049232158809900284,3.8860279415264602,0.045260846614837646
18,3.652120289835575,0.05028605833649635,3.878761772774468,0.045841943472623825
19,3.64976581267943,0.05329719930887222,3.8709034185764217,0.04745609685778618
20,3.6663352954965585,0.05179163068532944,3.870846191221032,0.05023243650794029
21,3.664141599114707,0.05736223980784416,3.873710054503985,0.04932851344347
22,3.689737060923635,0.053899429738521576,3.8755411146100887,0.04874741658568382
23,3.7179415290594746,0.05676001310348511,3.8655505480845114,0.04861828684806824
24,3.7152857864452247,0.05239385738968849,3.8614082661542026,0.050619833171367645
25,3.6749148946036705,0.05660945549607277,3.848744933270226,0.04997417330741882
26,3.6960945472556475,0.05465221405029297,3.850477331926015,0.048101756721735
27,3.703343532416376,0.05058717355132103,3.8499716397159354,0.04719782993197441
28,3.749157676636473,0.05179163068532944,3.837694746896255,0.05010330677032471
29,3.6759758008527883,0.05676001310348511,3.85050669140067,0.05139462649822235
